doctrine,definition
concept,"A concept is an abstract idea that serves as a foundation for more concrete principles, thoughts, and beliefs.
Concepts play an important role in all aspects of cognition. As such, concepts are studied within such disciplines as linguistics, psychology, and philosophy, and these disciplines are interested in the logical and psychological structure of concepts, and how they are put together to form thoughts and sentences. The study of concepts has served as an important flagship of an emerging interdisciplinary approach, cognitive science.
In contemporary philosophy, three understandings of a concept prevail:

mental representations, such that a concept is an entity that exists in the mind (a mental object)
abilities peculiar to cognitive agents (mental states)
Fregean senses, abstract objects rather than a mental object or a mental state
Concepts are classified into a hierarchy, higher levels of which are termed ""superordinate"" and lower levels termed ""subordinate"". Additionally, there is the ""basic"" or ""middle"" level at which people will most readily categorize a concept. For example, a basic-level concept would be ""chair"", with its superordinate, ""furniture"", and its subordinate, ""easy chair"".
Concepts may be exact or inexact. When the mind makes a generalization such as the concept of tree, it extracts similarities from numerous examples; the simplification enables higher-level thinking. A concept is instantiated (reified) by all of its actual or potential instances, whether these are things in the real world or other ideas.
Concepts are studied as components of human cognition in the cognitive science disciplines of linguistics, psychology, and philosophy, where an ongoing debate asks whether all cognition must occur through concepts. Concepts are regularly formalized in mathematics, computer science, databases and artificial intelligence. Examples of specific high-level conceptual classes in these fields include classes, schema or categories. In informal use, the word concept can refer to any idea."
Abatement ab initio,"Abatement ab initio (Latin for ""from the beginning"") is a common law legal doctrine that states that the death of a defendant who is appealing a criminal conviction extinguishes all criminal proceedings initiated against that defendant from indictment through conviction. Abatement ab initio was the subject of two United States Supreme Court decisions, Durham v. United States (1971) and Dove v. United States (1976). The former extended the doctrine to cases where certiorari was pending and not yet granted, and the latter excluded discretionary appeals."
Abstention doctrine,"An abstention doctrine is any of several doctrines that a United States court may (or in some cases must) apply to refuse to hear a case if hearing the case would potentially intrude upon the powers of another court. Such doctrines are usually invoked where lawsuits involving the same issues are brought in two different court systems at the same time (such as federal and state courts).
The United States has a federal court system with limitations on the cases that it can hear, while each state has its own individual court system. In some instances, the jurisdiction of these courts overlap, so a lawsuit between two parties may be brought in either or both courts. The latter circumstance can lead to confusion, waste resources, as well as cause the appearance that one court is disrespecting the other. Both federal and state courts have developed rules determining when one court will defer to another's jurisdiction over a particular case."
Abstraction principle (law),"The abstract system of title transfer (German: Abstraktionsprinzip) is a legal term in German law relating to the law of obligations (Schuldrecht) and property law (Sachenrecht). Although no express reference to it is made in the German Civil Code (BGB), the concept of separating a personal undertaking to pay or exchange goods or legal rights (e.g. through contract) from the conveyance of title to those goods or legal rights (e.g. through a deed or land registration) is fundamental to German private law (as well as Brazilian law, Greek law, South African law, and Scots law)."
Acquiescence,"In law, acquiescence occurs when a person knowingly stands by, without raising any objection to, the infringement of their rights, while someone else unknowingly and without malice aforethought acts in a manner inconsistent with their rights. As a result of acquiescence, the person whose rights are infringed may lose the ability to make a legal claim against the infringer, or may be unable to obtain an injunction against continued infringement. The doctrine infers a form of ""permission"" that results from silence or passiveness over an extended period of time."
Act of state doctrine,"The act-of-state doctrine is a principle in international law whereby acts done by a state in its own territory cannot be challenged by the national courts of another state.
As a principle of federal common law in the United States which states, in circumstances where it applies, that courts in the United States will not rule on the validity of another government's (formal) sovereign act with respect to property located within the latter's own territory. The act-of-state doctrine enters consideration most often in cases where a foreign sovereign has expropriated the property of a U.S. national located in that foreign territory (e.g. through nationalization)."
Actio libera in causa,"Actio libera in causa (frequently abbreviated as a.l.i.c., Latin for ""action free in its cause"") is a law principle in a typical Western law system (both common law and civil law). The doctrine means that even if the person was not free to choose the course of action while performing an offence, he can still be held responsible for it if he voluntarily created a condition (""cause"") for the offending action. A typical example is self-defense: in Anglo-American jurisdictions lethal action is justified under certain circumstances while protecting oneself, others, or property. However, this defense is not available, for example, to a person who started the fight, thus creating a ""cause"" for killing in self-defense at a later time. Most frequently a.l.i.c. is mentioned with regard to voluntary intoxication: if a person gets drunk, she will not be able use her state of inebriation to claim that, for example, her act of negligence was an accident."
Administration of justice,The administration of justice is the process by which the legal system of a government is executed. The presumed goal of such an administration is to provide justice for all those accessing the legal system.
Agent of record,"An agent of record (AOR) is an individual or legal entity with a duly executed contractual agreement with an insurance policy owner in line with the prevailing legal norms and regulations of the region in which the contract was entered. The agent of record has a legal right to receive commissions from the respective insurance policy.
The agent of record is authorized to represent an insured party in purchasing, servicing, and maintaining insurance coverage with a designated insurer. The majority of insurance companies will not disclose information or discuss an insured party's account with an agent other than the agent of record. An insured party wishing to change its insurance agent must properly authorize the insurer to release their information and discuss their coverage with their newly appointed agent, for example with an agent of record letter.
Relevant documents may be executed via hard copy or electronically (in jurisdictions where electronic execution is legal). Applications may be made electronically, as well as in physical form."
Aggregate effects doctrine,"The Aggregate effects doctrine, Cumulative effects doctrine, or substantial effects doctrine is a legal doctrine in United States federal law. The AED permits extension of the regulation of interstate commerce into any action which affects interstate commerce only when aggregated with other actions. It is most often associated with Wickard v. Filburn (1942).: 125  In Wickard a wheat farmer growing wheat solely for animal feed within the confines of his own farm was found to be regulatable because private growth for private consumption was the primary reason for decrease of demand.: 125 
Although mostly associated with Wickard, it is also referred to as ""substantial effects"" in another formative case the preceding year called U.S. v. Darby Lumber Co. (1941).: 126  In the previous term the same idea was the reasoning for the decision of  National Labor Relations Board v. Fainblatt . In Fainblatt the ""plenary"" power of interstate regulation ""extends to all such commerce be it great or small"" and had never been held ""to be constitutionally restricted because in any particular case the volume of the commerce affected may be small.""
Since its introduction this doctrine has been applied widely. One common example is alcohol laws, such as Michigan's well known wine shipment restrictions;  it is the basis of the influential NFIB v. Sebelius (2012) and some experts apply aggregate effects to the abortion law debate.
This doctrine is differently applied in tax and other cases and its effects upon firm decisions to enter or not enter interstate markets remains unclear."
