doctrine	definition	story
concept	"A concept is an abstract idea that serves as a foundation for more concrete principles, thoughts, and beliefs.
Concepts play an important role in all aspects of cognition. As such, concepts are studied within such disciplines as linguistics, psychology, and philosophy, and these disciplines are interested in the logical and psychological structure of concepts, and how they are put together to form thoughts and sentences. The study of concepts has served as an important flagship of an emerging interdisciplinary approach, cognitive science.
In contemporary philosophy, three understandings of a concept prevail:

mental representations, such that a concept is an entity that exists in the mind (a mental object)
abilities peculiar to cognitive agents (mental states)
Fregean senses, abstract objects rather than a mental object or a mental state
Concepts are classified into a hierarchy, higher levels of which are termed ""superordinate"" and lower levels termed ""subordinate"". Additionally, there is the ""basic"" or ""middle"" level at which people will most readily categorize a concept. For example, a basic-level concept would be ""chair"", with its superordinate, ""furniture"", and its subordinate, ""easy chair"".
Concepts may be exact or inexact. When the mind makes a generalization such as the concept of tree, it extracts similarities from numerous examples; the simplification enables higher-level thinking. A concept is instantiated (reified) by all of its actual or potential instances, whether these are things in the real world or other ideas.
Concepts are studied as components of human cognition in the cognitive science disciplines of linguistics, psychology, and philosophy, where an ongoing debate asks whether all cognition must occur through concepts. Concepts are regularly formalized in mathematics, computer science, databases and artificial intelligence. Examples of specific high-level conceptual classes in these fields include classes, schema or categories. In informal use, the word concept can refer to any idea."	"In the quaint town of Willow Creek, a heated debate arose among the local community members over the concept of property rights. Mrs. Thompson, a passionate gardener, believed that her garden and all its flourishing flowers belonged solely to her, as she had planted and nurtured them with care. On the other hand, Mr. Johnson, a handyman, argued that the law stated otherwise - that the land beneath the garden belonged to the town, and therefore, the town had a say in how it was used.

As the dispute escalated, the town's lawyer, Mr. Jenkins, stepped in to mediate. He explained to Mrs. Thompson and Mr. Johnson the legal concept of property rights - the abstract idea that ownership and control of land and its resources can be defined, regulated, and enforced by the law. He emphasized that while Mrs. Thompson had the right to enjoy her garden, the town also held a superordinate right to regulate land use for the benefit of the community as a whole.

Through this interaction, Mrs. Thompson and Mr. Johnson came to understand that the concept of property rights served as a foundation for the legal principles that governed land ownership, usage, and responsibilities within their community. They learned that concepts like property rights exist not only as mental representations but are also essential for maintaining order and harmony in society."
Abatement ab initio	"Abatement ab initio (Latin for ""from the beginning"") is a common law legal doctrine that states that the death of a defendant who is appealing a criminal conviction extinguishes all criminal proceedings initiated against that defendant from indictment through conviction. Abatement ab initio was the subject of two United States Supreme Court decisions, Durham v. United States (1971) and Dove v. United States (1976). The former extended the doctrine to cases where certiorari was pending and not yet granted, and the latter excluded discretionary appeals."	"Sarah, a successful businesswoman, was wrongly convicted of embezzlement after a former colleague framed her. Determined to clear her name, she immediately appealed the verdict. While her appeal was pending, Sarah tragically passed away in a car accident.

In the legal realm, Sarah's death triggered the doctrine of abatement ab initio. The court declared that all criminal proceedings against her, from the initial indictment to the appeal process, were extinguished as if they had never occurred. The conviction was effectively wiped clean, and Sarah was considered innocent in the eyes of the law.

Sarah's family, relieved that her name was finally cleared, found solace in the legal concept of abatement ab initio. The doctrine ensured that Sarah's reputation remained untarnished, acknowledging that her untimely death should not define her legacy.

This fictional scenario of Sarah's battle for justice and the application of abatement ab initio highlights how the legal system can offer posthumous relief to individuals who faced wrongful convictions, preserving their innocence despite their tragic end."
Abstention doctrine	"An abstention doctrine is any of several doctrines that a United States court may (or in some cases must) apply to refuse to hear a case if hearing the case would potentially intrude upon the powers of another court. Such doctrines are usually invoked where lawsuits involving the same issues are brought in two different court systems at the same time (such as federal and state courts).
The United States has a federal court system with limitations on the cases that it can hear, while each state has its own individual court system. In some instances, the jurisdiction of these courts overlap, so a lawsuit between two parties may be brought in either or both courts. The latter circumstance can lead to confusion, waste resources, as well as cause the appearance that one court is disrespecting the other. Both federal and state courts have developed rules determining when one court will defer to another's jurisdiction over a particular case."	"Samantha, a small business owner, found herself in a legal bind when a dispute arose with a vendor over a breached contract. Frustrated with the vendor's actions, she decided to file a lawsuit in both federal and state courts seeking damages for the breach. This move led to a situation where both courts were potentially being asked to rule on the same issue.

Upon reviewing Samantha's case, the federal court invoked the abstention doctrine. They recognized that the state court also had jurisdiction and expertise in contract law cases. To avoid redundant proceedings and to prevent conflicting judgments, the federal court decided to defer to the state court's jurisdiction over the matter.

Samantha initially felt confused by the court's decision. However, after speaking with her attorney and understanding the purpose of the abstention doctrine, she realized that it was a way to promote efficiency and respect between different court systems. Ultimately, the case proceeded smoothly in the state court, and Samantha was able to secure a favorable outcome without unnecessary delays or complications.

Through this experience, Samantha learned firsthand about the importance of legal doctrines like abstention in preventing duplication of efforts and maintaining order in the judicial system."
Abstraction principle (law)	The abstract system of title transfer (German: Abstraktionsprinzip) is a legal term in German law relating to the law of obligations (Schuldrecht) and property law (Sachenrecht). Although no express reference to it is made in the German Civil Code (BGB), the concept of separating a personal undertaking to pay or exchange goods or legal rights (e.g. through contract) from the conveyance of title to those goods or legal rights (e.g. through a deed or land registration) is fundamental to German private law (as well as Brazilian law, Greek law, South African law, and Scots law).	"In a quaint village, there lived two friends - Emma, a talented artist, and James, a savvy businessman. One day, Emma painted a stunning portrait of James, capturing his charisma and charm perfectly. As they admired the artwork together, James came up with a brilliant idea to showcase Emma's talent in an art exhibition.

Excited about the opportunity, they quickly drafted a contract stipulating the terms of their agreement. According to the contract, James would arrange the exhibition space and promote Emma's art while Emma would retain ownership of her paintings and receive a percentage of the profits from any sales.

As the exhibition drew near, Emma's paintings garnered widespread attention, and one particular art enthusiast was eager to purchase the portrait of James. Delighted by the offer, Emma agreed to the sale, and James facilitated the transaction.

Here's where the Abstraction principle comes into play - although James facilitated the sale of Emma's painting, their contract made it clear that the ownership of the artwork remained with Emma. The sale was a separate transaction from their initial agreement, demonstrating the clear separation between the personal obligations outlined in their contract and the transfer of ownership of the painting itself.

Thanks to the Abstraction principle, Emma could enjoy the success of her art without compromising her ownership rights, showcasing the importance of clarity and distinction in legal agreements."
Acquiescence	"In law, acquiescence occurs when a person knowingly stands by, without raising any objection to, the infringement of their rights, while someone else unknowingly and without malice aforethought acts in a manner inconsistent with their rights. As a result of acquiescence, the person whose rights are infringed may lose the ability to make a legal claim against the infringer, or may be unable to obtain an injunction against continued infringement. The doctrine infers a form of ""permission"" that results from silence or passiveness over an extended period of time."	"Sarah inherited a small piece of land from her grandmother, but she lived in a different city and rarely visited the property. Over time, her neighbor, John, started to encroach on Sarah's land by extending his driveway onto it. Sarah was aware of this encroachment but didn't say anything, assuming it was a small and temporary situation.

Years passed, and John gradually expanded his driveway further into Sarah's land, building a shed on the encroached area. Sarah finally decided to take action when she wanted to sell the property and discovered the encroachment issue. She filed a legal claim against John for trespassing on her land.

However, during the legal proceedings, John's lawyer argued based on the legal concept of acquiescence. They claimed that Sarah had remained silent and inactive for so long, effectively giving John implied permission to encroach on her land by not objecting earlier. As a result, the court ruled in John's favor, and Sarah lost her legal claim to the portion of the land encroached by John due to her acquiescence over the years.

Through Sarah and John's story, we can see how staying silent and inactive in the face of a rights infringement can lead to losing those very rights under the principle of acquiescence."
Act of state doctrine	"The act-of-state doctrine is a principle in international law whereby acts done by a state in its own territory cannot be challenged by the national courts of another state.
As a principle of federal common law in the United States which states, in circumstances where it applies, that courts in the United States will not rule on the validity of another government's (formal) sovereign act with respect to property located within the latter's own territory. The act-of-state doctrine enters consideration most often in cases where a foreign sovereign has expropriated the property of a U.S. national located in that foreign territory (e.g. through nationalization)."	"Sarah was a successful businesswoman who owned a textiles company that operated in multiple countries. One day, she received news that the government of a foreign country where her company had a manufacturing plant had nationalized all foreign-owned businesses.

Devastated, Sarah decided to take legal action in the U.S. to challenge the foreign government's decision, hoping to reclaim her company’s assets. However, her lawyer explained the Act of State Doctrine, emphasizing that U.S. courts would not intervene in matters concerning sovereign acts of foreign governments on their own territory.

Despite her frustration and disbelief, Sarah had to come to terms with the harsh reality that her legal options were limited. The Act of State Doctrine meant that she had no recourse in the U.S. legal system to challenge the foreign government’s action, and her company's assets would remain under the control of the nationalizing government.

Through this experience, Sarah learned firsthand the extent of the Act of State Doctrine and the challenges that come with navigating international legal principles when dealing with sovereign acts of foreign governments."
Actio libera in causa	"Actio libera in causa (frequently abbreviated as a.l.i.c., Latin for ""action free in its cause"") is a law principle in a typical Western law system (both common law and civil law). The doctrine means that even if the person was not free to choose the course of action while performing an offence, he can still be held responsible for it if he voluntarily created a condition (""cause"") for the offending action. A typical example is self-defense: in Anglo-American jurisdictions lethal action is justified under certain circumstances while protecting oneself, others, or property. However, this defense is not available, for example, to a person who started the fight, thus creating a ""cause"" for killing in self-defense at a later time. Most frequently a.l.i.c. is mentioned with regard to voluntary intoxication: if a person gets drunk, she will not be able use her state of inebriation to claim that, for example, her act of negligence was an accident."	"In a small town, Sarah and Mark went out for drinks on a Friday night. As the evening progressed, they both became increasingly intoxicated. Sarah, known for her mischievous nature, suggested they play a game of darts at the local pub.

Mark, who was already feeling the effects of the alcohol, hesitated but eventually agreed. As they played, Sarah's competitive streak emerged, and she kept goading Mark to aim better. In his inebriated state, Mark's aim was off, and he accidentally hit a bystander with a dart.

The injured person pressed charges against Mark for assault, claiming he had acted recklessly. In court, Mark's defense argued that he was not in control due to his intoxication, but the prosecution invoked the legal concept of actio libera in causa.

The judge ruled that even though Mark was not fully in control of his actions while intoxicated, he voluntarily put himself in that state by choosing to drink excessively. Therefore, he was held responsible for the consequences of his actions, highlighting the principle of actio libera in causa.

Through this scenario, it became clear that individuals can be accountable for their actions even if they claim diminished capacity due to self-induced circumstances like voluntary intoxication."
Administration of justice	The administration of justice is the process by which the legal system of a government is executed. The presumed goal of such an administration is to provide justice for all those accessing the legal system.	"Sarah, a hardworking single mother, was falsely accused of a crime she didn't commit. With her livelihood on the line, she turned to the legal system for justice. Despite initial setbacks and doubts, Sarah remained determined to clear her name.

As the case progressed, the administration of justice unfolded. The legal process ensured that Sarah had the opportunity to present her evidence, cross-examine witnesses, and be heard in a court of law. Through the guidance of her dedicated attorney, the truth gradually came to light.

The administration of justice wasn't just about proving guilt or innocence; it was about ensuring fairness and integrity in the legal system. Sarah felt supported and empowered by the process, knowing that her rights were being protected and upheld.

In the end, the truth prevailed, and Sarah was acquitted of all charges. The administration of justice had worked in her favor, providing her with the opportunity to seek redress and restore her reputation. Sarah emerged stronger from the experience, with a newfound appreciation for the importance of a fair and impartial legal system."
Agent of record	"An agent of record (AOR) is an individual or legal entity with a duly executed contractual agreement with an insurance policy owner in line with the prevailing legal norms and regulations of the region in which the contract was entered. The agent of record has a legal right to receive commissions from the respective insurance policy.
The agent of record is authorized to represent an insured party in purchasing, servicing, and maintaining insurance coverage with a designated insurer. The majority of insurance companies will not disclose information or discuss an insured party's account with an agent other than the agent of record. An insured party wishing to change its insurance agent must properly authorize the insurer to release their information and discuss their coverage with their newly appointed agent, for example with an agent of record letter.
Relevant documents may be executed via hard copy or electronically (in jurisdictions where electronic execution is legal). Applications may be made electronically, as well as in physical form."	"Once upon a time, Sarah owned a small bakery that was flourishing in her community. She had diligently purchased business insurance through an agent named Alex, who had been her trusted advisor for years and was her official agent of record.

One day, Sarah decided she wanted to explore different insurance options to ensure she was getting the best coverage for her growing business. She met with a new insurance agent, Emily, who seemed knowledgeable and offered competitive rates.

Excited about the possibility of saving money, Sarah instructed Emily to proceed with finding her a new insurance policy. However, when Emily contacted the insurance company to discuss the details, she was informed that Alex was still the agent of record for Sarah's policy.

Confused, Sarah learned that as the agent of record, Alex had the legal right to represent her in all insurance matters unless she officially terminated their agreement and appointed a new agent. Sarah quickly completed the necessary paperwork to designate Emily as her new agent of record.

Through this experience, Sarah understood the importance of the agent of record designation and the need to follow the proper procedures when making changes to her insurance representation."
Aggregate effects doctrine	"The Aggregate effects doctrine, Cumulative effects doctrine, or substantial effects doctrine is a legal doctrine in United States federal law. The AED permits extension of the regulation of interstate commerce into any action which affects interstate commerce only when aggregated with other actions. It is most often associated with Wickard v. Filburn (1942).: 125  In Wickard a wheat farmer growing wheat solely for animal feed within the confines of his own farm was found to be regulatable because private growth for private consumption was the primary reason for decrease of demand.: 125 
Although mostly associated with Wickard, it is also referred to as ""substantial effects"" in another formative case the preceding year called U.S. v. Darby Lumber Co. (1941).: 126  In the previous term the same idea was the reasoning for the decision of  National Labor Relations Board v. Fainblatt . In Fainblatt the ""plenary"" power of interstate regulation ""extends to all such commerce be it great or small"" and had never been held ""to be constitutionally restricted because in any particular case the volume of the commerce affected may be small.""
Since its introduction this doctrine has been applied widely. One common example is alcohol laws, such as Michigan's well known wine shipment restrictions;  it is the basis of the influential NFIB v. Sebelius (2012) and some experts apply aggregate effects to the abortion law debate.
This doctrine is differently applied in tax and other cases and its effects upon firm decisions to enter or not enter interstate markets remains unclear."	"Once upon a time in a quaint town named Mapleford, a family-owned bakery called Sweet Delights faced a dilemma. The bakery had been thriving for years, known for its delicious pastries and cakes made with love and care.

However, the state government proposed a new law that restricted the use of certain ingredients in baked goods sold across state lines. At first, the owners of Sweet Delights didn't think much of it since they only sold within the town limits.

But as they delved deeper into the proposal, they realized that the law could affect them indirectly. You see, the law aimed to protect consumers from potential health risks associated with those ingredients, but it would also impact suppliers who sourced those ingredients from out of state.

The bakery owners learned about the Aggregate Effects Doctrine through a helpful local lawyer. They discovered that even though their business didn't directly engage in interstate commerce, the aggregated impact of the law on their suppliers could eventually trickle down to affect them.

In the end, Sweet Delights had to adapt their recipes and find new local suppliers to comply with the law. This experience taught them an important lesson about how seemingly small regulatory changes could have significant consequences when aggregated across the supply chain."
