doctrine	definition	story
concept	"A concept is an abstract idea that serves as a foundation for more concrete principles, thoughts, and beliefs.
Concepts play an important role in all aspects of cognition. As such, concepts are studied within such disciplines as linguistics, psychology, and philosophy, and these disciplines are interested in the logical and psychological structure of concepts, and how they are put together to form thoughts and sentences. The study of concepts has served as an important flagship of an emerging interdisciplinary approach, cognitive science.
In contemporary philosophy, three understandings of a concept prevail:

mental representations, such that a concept is an entity that exists in the mind (a mental object)
abilities peculiar to cognitive agents (mental states)
Fregean senses, abstract objects rather than a mental object or a mental state
Concepts are classified into a hierarchy, higher levels of which are termed ""superordinate"" and lower levels termed ""subordinate"". Additionally, there is the ""basic"" or ""middle"" level at which people will most readily categorize a concept. For example, a basic-level concept would be ""chair"", with its superordinate, ""furniture"", and its subordinate, ""easy chair"".
Concepts may be exact or inexact. When the mind makes a generalization such as the concept of tree, it extracts similarities from numerous examples; the simplification enables higher-level thinking. A concept is instantiated (reified) by all of its actual or potential instances, whether these are things in the real world or other ideas.
Concepts are studied as components of human cognition in the cognitive science disciplines of linguistics, psychology, and philosophy, where an ongoing debate asks whether all cognition must occur through concepts. Concepts are regularly formalized in mathematics, computer science, databases and artificial intelligence. Examples of specific high-level conceptual classes in these fields include classes, schema or categories. In informal use, the word concept can refer to any idea."	"Meet Sarah, a marketing manager who loves cooking. She's always been fascinated by the art of combining different ingredients to create unique dishes. Sarah's friends often rave about her culinary skills, and she's even been asked to cater for a few events.

One day, Sarah realized that her favorite cooking style was a blend of Mediterranean, Italian, and Asian cuisines. She started to notice patterns and commonalities between these styles, such as the use of olive oil, garlic, and lemon juice. Sarah's mind created a mental representation of what she called ""flavor fusion,"" which became her go-to concept for cooking.

As she cooked more, Sarah refined her concept of flavor fusion, extracting specific elements from each cuisine to create her own signature dishes. She found herself thinking about flavor fusion as a mental state, effortlessly combining different flavors and textures to create something new and exciting.

Sarah's concept of flavor fusion became a superordinate concept, encompassing various subordinate concepts like Mediterranean, Italian, and Asian cuisines. When she thought about a specific dish, she could easily categorize it as flavor fusion, making it easier to come up with new creations.

Sarah's understanding of flavor fusion also evolved from a mental representation to a reified concept, as she began to share her creations with friends and family. Her concept was instantiated by all her actual dishes, and she saw how others responded to the blends of flavors she created.

Through her experience, Sarah came to understand that concepts are abstract ideas that help us make sense of the world. She realized that her concept of flavor fusion was not just a mental object, but a complex combination of mental states, thought patterns, and abstract objects that enabled her to create something unique and delicious."
Abatement ab initio	"Abatement ab initio (Latin for ""from the beginning"") is a common law legal doctrine that states that the death of a defendant who is appealing a criminal conviction extinguishes all criminal proceedings initiated against that defendant from indictment through conviction. Abatement ab initio was the subject of two United States Supreme Court decisions, Durham v. United States (1971) and Dove v. United States (1976). The former extended the doctrine to cases where certiorari was pending and not yet granted, and the latter excluded discretionary appeals."	"Tom, a small business owner, was accused of tax evasion and went on trial. He was found guilty and sentenced to serve 5 years in prison. However, Tom was not one to give up. He immediately filed an appeal, hoping to contest the conviction in a higher court.

As the appeal w"
Abstention doctrine	"An abstention doctrine is any of several doctrines that a United States court may (or in some cases must) apply to refuse to hear a case if hearing the case would potentially intrude upon the powers of another court. Such doctrines are usually invoked where lawsuits involving the same issues are brought in two different court systems at the same time (such as federal and state courts).
The United States has a federal court system with limitations on the cases that it can hear, while each state has its own individual court system. In some instances, the jurisdiction of these courts overlap, so a lawsuit between two parties may be brought in either or both courts. The latter circumstance can lead to confusion, waste resources, as well as cause the appearance that one court is disrespecting the other. Both federal and state courts have developed rules determining when one court will defer to another's jurisdiction over a particular case."	"The once-thriving small business, ""Main Street Deli,"" was at the center of a bitter dispute between its owner, Sarah, and a former employee, Tom. The issue was a contractual dispute over the terms of Tom's employment agreement. According to Sarah, Tom had signed an agreement allowing him to open a competing deli within a one-mile radius of Main Street Deli within three years of his departure. Tom, on the other hand, claimed the clause was unfair and unjustly restricted his entrepreneurial ambitions.

Tom filed a lawsuit against Sarah in federal court, alleging that the employment contract contained federal anti-competitive provisions. Meanwhile, Sarah countered by filing a state court lawsuit, claiming that the contract was a garden-variety employment agreement controlled by state laws.

As the cases progressed, both courts began to realize that they were hearing the same dispute. To avoid duplicative litigation and potential inconsistencies in the rulings, they decided to invoke the abstention doctrine. The federal court recognized that the state court was the more appropriate forum to resolve the dispute, as employment contracts fell under state jurisdiction. Therefore, the federal court would abstain from exercising its jurisdiction and allow the state court to hear the case.

The abstention doctrine prevented both courts from overstepping their jurisdictions, ensuring that the dispute was resolved efficiently and with proper application of the relevant laws. In the end, the state court issued a ruling that was binding on both parties, avoiding the confusion and waste of resources that could have resulted from simultaneous proceedings in both courts."
Abstraction principle (law)	The abstract system of title transfer (German: Abstraktionsprinzip) is a legal term in German law relating to the law of obligations (Schuldrecht) and property law (Sachenrecht). Although no express reference to it is made in the German Civil Code (BGB), the concept of separating a personal undertaking to pay or exchange goods or legal rights (e.g. through contract) from the conveyance of title to those goods or legal rights (e.g. through a deed or land registration) is fundamental to German private law (as well as Brazilian law, Greek law, South African law, and Scots law).	"Meet Emma, a young entrepreneur who owns a small bakery. She decides to expand her business by partnering with her friend, Alex, to open a new store in a popular shopping district. They agree to split the profits 50/50 and create a joint venture.

To formalize their partnership, they sign a partnership agreement, which outlines their roles, responsibilities, and profit sharing. However, the agreement does not transfer the title to the new store. The deed to the property remains with Emma, as she is the one who purchased it.

Six months later, Alex wants to withdraw from the partnership. Emma, feeling frustrated, tries to force Alex to sell their share of the business. But Alex refuses, claiming that they never intended to transfer their share of the profit stream.

Here's where the abstraction principle kicks in. Even though Emma owns the deed, she cannot force Alex to relinquish their claim to the profits. The abstraction principle separates the transfer of title (the deed) from the personal undertaking to perform certain obligations (the partnership agreement). This means that Alex's agreement to share profits is a separate entity from the property itself.

In this scenario, Emma can choose to buy out Alex's share of the business or find a new partner, but she cannot force Alex to give up their claim to the profits. The abstraction principle ensures that the legal relationship between parties is separated from the physical property, allowing for flexibility and clarity in complex transactions."
Acquiescence	"In law, acquiescence occurs when a person knowingly stands by, without raising any objection to, the infringement of their rights, while someone else unknowingly and without malice aforethought acts in a manner inconsistent with their rights. As a result of acquiescence, the person whose rights are infringed may lose the ability to make a legal claim against the infringer, or may be unable to obtain an injunction against continued infringement. The doctrine infers a form of ""permission"" that results from silence or passiveness over an extended period of time."	"The small town of Willow Creek was known for its weekly farmers' market, where local vendors sold fresh produce, baked goods, and handmade crafts. For years, Sarah had run a popular stall selling artisanal jams and preserves. She was known for her unique flavors and commitment to using only the freshest ingredients.

One day, a new vendor, Michael, set up a stall beside Sarah's, selling a similar range of jams and preserves. While the quality was not as high as Sarah's, the prices were significantly lower. At first, Sarah was concerned about the competition, but she didn't say anything, figuring that the market was big enough for both of them.

As weeks went by, Sarah noticed that Michael was copying her recipes, packaging, and even her brand name. At first, she thought it was a coincidence, but as she saw her sales decline, she realized Michael was intentionally trying to poach her customers.

Despite feeling upset and betrayed, Sarah remained silent. She figured that if she didn't make a fuss, she could keep her customers and maybe even benefit from the extra competition. But as the months passed and Michael continued to steal her ideas, Sarah began to lose her loyal customer base.

When Sarah finally decided to take action, she was told by the court that her silence and inaction had, in effect, granted Michael permission to use her intellectual property. Her claims for copyright infringement were dismissed, and she was forced to watch as Michael built a successful business on the back of her ideas."
Act of state doctrine	"The act-of-state doctrine is a principle in international law whereby acts done by a state in its own territory cannot be challenged by the national courts of another state.
As a principle of federal common law in the United States which states, in circumstances where it applies, that courts in the United States will not rule on the validity of another government's (formal) sovereign act with respect to property located within the latter's own territory. The act-of-state doctrine enters consideration most often in cases where a foreign sovereign has expropriated the property of a U.S. national located in that foreign territory (e.g. through nationalization)."	"Here's a short story that illustrates the act-of-state doctrine:

Maria, a U.S. citizen, owned a small business in a popular tourist town on the French Riviera. Two years ago, the French government, citing economic development concerns, decided to rezone the area and purchased Maria's property at a fair market value. The government planned to demolish the existing buildings and construct a new economic zone.

Maria was Notam Scana, a local French lawyer, and negotiated with the government to receive a fair market price for the property, which was tens of thousands of euros. However, Maria was unhappy with the deal and challenged the government's actions, claiming that the expropriation was not done fairly and that she should receive more compensation.

Maria brought the lawsuit to the French courts, but they ruled in favor of the government, citing that expropriation was within their sovereign powers. Maria then tried to bring the case to the U.S. courts, claiming that the French government's actions were ordered by its president, who was a personal friend of the U.S. President. However, the U.S. court dismissed the case, citing the act-of-state doctrine.

The court ruled that, as the expropriation took place within French territory, it was an internal matter of the French government and not a suitable subject for U.S. judicial intervention. Maria was left with no choice but to accept the French court's decision and move on with her life.

This story demonstrates how the act-of-state doctrine works: although Maria may have been deprived of her property, she cannot challenge the French government's actions in U.S. courts, as the expropriation took place within French territory and was an internal matter of the French government."
Actio libera in causa	"Actio libera in causa (frequently abbreviated as a.l.i.c., Latin for ""action free in its cause"") is a law principle in a typical Western law system (both common law and civil law). The doctrine means that even if the person was not free to choose the course of action while performing an offence, he can still be held responsible for it if he voluntarily created a condition (""cause"") for the offending action. A typical example is self-defense: in Anglo-American jurisdictions lethal action is justified under certain circumstances while protecting oneself, others, or property. However, this defense is not available, for example, to a person who started the fight, thus creating a ""cause"" for killing in self-defense at a later time. Most frequently a.l.i.c. is mentioned with regard to voluntary intoxication: if a person gets drunk, she will not be able use her state of inebriation to claim that, for example, her act of negligence was an accident."	"Here's a short story illustrating the legal concept of ""Actio libera in causa"":

Meet Alex, a college student who got in a fight at a party with his friend, Jamie. Alex had been drinking heavily throughout the night, and things escalated quickly. During the altercation, Jamie threw a punch that landed on Alex's face, causing him to stumble backward and accidentally knock over a nearby lamp. The lamp broke, and Alex, in a haze of angry frustration, grabbed a nearby bottle of whiskey and shattered it on the floor.

When the police arrived, they found Jamie lying on the ground, bleeding from a cut on his forehead. Alex was arrested and charged with criminal damage to property and assault.

At his trial, Alex's defense attorney argued that his client was an accident victim, driven by the drunk state he was in when Jamie initiated the fight. The prosecution, however, countered that Alex created the condition (causing his intoxication) that led to his actions. The court agreed, ruling that Alex was aware of the danger of drinking heavily before the fight, but chose to do so anyway.

The jury convicted Alex, finding that he was not innocent due to his inebriation, but rather chose to create a situation (getting drunk) that led to his reckless behavior. Alex could have avoided the whole situation by not drinking so much, or by not starting the fight with Jamie. Since he voluntarily put himself in that state, he could not claim that his later actions were just an accident. Alex was held responsible for his actions, illustrating the legal principle of actio libera in causa: even if the person was not free to choose the course of action while performing the offence, they can still be held responsible if they voluntarily created the condition that led to the offending action."
Administration of justice	The administration of justice is the process by which the legal system of a government is executed. The presumed goal of such an administration is to provide justice for all those accessing the legal system.	"Alex, a freelance writer, had been working on a project for months when her ex-partner, a prominent businessman, suddenly pulled out of their agreement and accused her of stealing his ideas. The dispute made headlines, and Alex's reputation began to suffer.

Panicked, Alex sought the help of a lawyer, Rachel, who specialized in intellectual property disputes. Rachel listened attentively to Alex's story, gathered evidence, and discovered that Alex's ex-partner was attempting to discredit her to avoid liability.

Rachel confidently represented Alex in court, presenting the evidence and expert testimony that proved Alex's innocence. The judge, Mr. Thompson, was fair and experienced, taking the time to carefully review each piece of evidence and question each witness.

After a thorough trial, the judge pronounced his verdict: Alex was not guilty of intellectual property theft. The court also ordered Alex's ex-partner to pay compensation for the harm caused to her reputation.

Thanks to the administration of justice, Alex's dignity and reputation were restored. She returned to her work with renewed confidence, knowing that the legal system had vindicated her. The court's neutrality, fairness, and due process ensured that justice was served, placing the emphasis on the facts rather than personal vendettas.

In this fictional scenario, the administration of justice is exemplified through the fair and impartial handling of Alex's case by the lawyer, judge, and court. The legal system's execution of justice served to provide justice for Alex, protecting her rights and reputation from harm."
Agent of record	"An agent of record (AOR) is an individual or legal entity with a duly executed contractual agreement with an insurance policy owner in line with the prevailing legal norms and regulations of the region in which the contract was entered. The agent of record has a legal right to receive commissions from the respective insurance policy.
The agent of record is authorized to represent an insured party in purchasing, servicing, and maintaining insurance coverage with a designated insurer. The majority of insurance companies will not disclose information or discuss an insured party's account with an agent other than the agent of record. An insured party wishing to change its insurance agent must properly authorize the insurer to release their information and discuss their coverage with their newly appointed agent, for example with an agent of record letter.
Relevant documents may be executed via hard copy or electronically (in jurisdictions where electronic execution is legal). Applications may be made electronically, as well as in physical form."	"Meet Sarah, a successful business owner in her late 30s. She had purchased a commercial insurance policy from XYZ Insurance Company three years ago through an agent named Alex, who was an independent broker. At the time, Sarah and Alex had signed a contract, making Alex the agent of record for her policy.

As Sarah's business grew, she decided to expand her operations and hire an in-house insurance manager, Rachel, to handle the policy. Rachel was not affiliated with XYZ Insurance Company, but she had experience working with insurance policies. Sarah wanted Rachel to take over the policy, but first, she needed to authorize XYZ Insurance to release the information and discuss the coverage with Rachel.

Sarah and Rachel drafted a letter, formally appointing Rachel as the new agent of record. The letter specified that Rachel would be authorized to receive commissions from XYZ Insurance and had the power to make changes to the policy. Once the letter was signed and sent to XYZ Insurance, Rachel was officially recognized as Sarah's new agent of record.

With Rachel as the agent of record, Sarah and her team were able to make informed decisions about their policy with confidence, knowing that XYZ Insurance would share necessary information and communication with Rachel. The change allowed Sarah to focus on her business growth, while Rachel handled the insurance aspects, ensuring that their interests were protected."
Aggregate effects doctrine	"The Aggregate effects doctrine, Cumulative effects doctrine, or substantial effects doctrine is a legal doctrine in United States federal law. The AED permits extension of the regulation of interstate commerce into any action which affects interstate commerce only when aggregated with other actions. It is most often associated with Wickard v. Filburn (1942).: 125  In Wickard a wheat farmer growing wheat solely for animal feed within the confines of his own farm was found to be regulatable because private growth for private consumption was the primary reason for decrease of demand.: 125 
Although mostly associated with Wickard, it is also referred to as ""substantial effects"" in another formative case the preceding year called U.S. v. Darby Lumber Co. (1941).: 126  In the previous term the same idea was the reasoning for the decision of  National Labor Relations Board v. Fainblatt . In Fainblatt the ""plenary"" power of interstate regulation ""extends to all such commerce be it great or small"" and had never been held ""to be constitutionally restricted because in any particular case the volume of the commerce affected may be small.""
Since its introduction this doctrine has been applied widely. One common example is alcohol laws, such as Michigan's well known wine shipment restrictions;  it is the basis of the influential NFIB v. Sebelius (2012) and some experts apply aggregate effects to the abortion law debate.
This doctrine is differently applied in tax and other cases and its effects upon firm decisions to enter or not enter interstate markets remains unclear."	"Here's a story that illustrates the Aggregate Effects doctrine:

Meet Sarah, a small-town baker in rural Ohio. She owns a cozy pastry shop, where she sells homemade bread, cakes, and cookies to her local customers. She grows her own wheat on a small plot of land near her shop to supplement her ingredients and reduce her costs. She bakes and sells her goods exclusively within Ohio, never exporting or shipping her products interstate.

One day, the federal government imposes a regulation requiring all wheat growers to plant a certain percentage of their land with drought-resistant seeds to mitigate the effects of climate change. Sarah is initially exempt from this regulation because she's not participating in interstate commerce. However, the government takes into account other wheat farmers across the country who are growing wheat not just for local consumption, but also for export. Since many of these farmers are adopting drought-resistant seeds, the collective impact of their actions is significantly reducing the country's carbon footprint.

The government argues that even if Sarah's wheat-growing activities don't have a significant direct impact on interstate commerce, the cumulative effects of all wheat farmers – including those who sell their produce nationally and internationally – create a substantial impact on the national commercial market. Therefore, the government asserts its authority to regulate Sarah's wheat-growing activities as well, citing the Aggregate Effects doctrine.

Sarah can be seen as the example where if she is producing according to local breed which on its own does not impact the interstate then the USDA could has right to direct her under the commerce clause because many farmers make locally influenced the counterparts around the country make proceed a representation that she could include in their inventory and quality of products is exactly due federal treated like little Cousin comprehensively universally treated directly regulated"
