doctrine	definition	story
concept	"A concept is an abstract idea that serves as a foundation for more concrete principles, thoughts, and beliefs.
Concepts play an important role in all aspects of cognition. As such, concepts are studied within such disciplines as linguistics, psychology, and philosophy, and these disciplines are interested in the logical and psychological structure of concepts, and how they are put together to form thoughts and sentences. The study of concepts has served as an important flagship of an emerging interdisciplinary approach, cognitive science.
In contemporary philosophy, three understandings of a concept prevail:

mental representations, such that a concept is an entity that exists in the mind (a mental object)
abilities peculiar to cognitive agents (mental states)
Fregean senses, abstract objects rather than a mental object or a mental state
Concepts are classified into a hierarchy, higher levels of which are termed ""superordinate"" and lower levels termed ""subordinate"". Additionally, there is the ""basic"" or ""middle"" level at which people will most readily categorize a concept. For example, a basic-level concept would be ""chair"", with its superordinate, ""furniture"", and its subordinate, ""easy chair"".
Concepts may be exact or inexact. When the mind makes a generalization such as the concept of tree, it extracts similarities from numerous examples; the simplification enables higher-level thinking. A concept is instantiated (reified) by all of its actual or potential instances, whether these are things in the real world or other ideas.
Concepts are studied as components of human cognition in the cognitive science disciplines of linguistics, psychology, and philosophy, where an ongoing debate asks whether all cognition must occur through concepts. Concepts are regularly formalized in mathematics, computer science, databases and artificial intelligence. Examples of specific high-level conceptual classes in these fields include classes, schema or categories. In informal use, the word concept can refer to any idea."	"Title: The Case of the Muddled Museum Heist

In the heart of a bustling city, a prestigious museum, the Vangarde, was home to an extraordinary art collection. The head curator, Eli, was known for his impeccable eye and deep understanding of the art world. However, one day, a valuable painting vanished. The museum's security measures were thrown into chaos, and the responsibility of recovering the artwork was handed to the diligent and tactful Detective Sam.

Detective Sam, a seasoned investigator, knew that the first step was to understand the concept of the missing artwork. He didn't delve into the details of brush strokes, but instead focused on the abstract idea - the concept of the painting. He knew that, to the untrained eye, it might just seem like a beautiful painting of a sunset over water. But, to the experts, it was a priceless Picasso, its value far beyond the pixels of its image.

The concept of the painting, as the curator explained, lay in its unique Cubist style, its vibrant colors, and the emotion it evoked. It was a superordinate concept, part of the larger category of Art. But what was the basic-level concept, the immediate category that most people would identify with the painting? As the detective pondered, he learned it was a Picasso.

The more he delved into the case, the more it became clear - the thief had not stolen just a painting; they had targeted the concept of the painting. Whether the thief intended to sell the physical painting or used it as a tool to infiltrate other exhibitions, understanding the concept was crucial to recovery.

As Detective Sam continued his investigation, the seemingly simple concept of a painting became a whirlwind of clues, each leading him closer to the elusive thief. In the end, he proved that concepts were more than just mental objects or states - they were complex ideas integral to our understanding of the world and were the very essence that defined our culture, art, and even the law."
Abatement ab initio	"Abatement ab initio (Latin for ""from the beginning"") is a common law legal doctrine that states that the death of a defendant who is appealing a criminal conviction extinguishes all criminal proceedings initiated against that defendant from indictment through conviction. Abatement ab initio was the subject of two United States Supreme Court decisions, Durham v. United States (1971) and Dove v. United States (1976). The former extended the doctrine to cases where certiorari was pending and not yet granted, and the latter excluded discretionary appeals."	"Title: A Justice Delayed, a Verdict Voided: The Case of James and the Unfinished Appeal

In the small, peaceful town of Harmonyville, a local bakery owner, James, was accused of embezzling funds from a charity event. The community was shocked, as James was well-respected and had been a pillar of the town for years. The case was taken to court, and after a heated trial, a verdict was reached: guilty.

But James didn't give up. He believed in his innocence and felt the verdict was unjust. He filed an appeal, hoping for a fair review of the evidence. As the legal process dragged on, James was determined to clear his name.

However, in the midst of the appeal, a tragic turn of events occurred. A sudden heart attack claimed James' life. It was a shock to everyone, including his lawyers. The appeal process was still in motion, with the court yet to decide on whether to grant the appeal or not.

As the news of James' passing spread, the court faced a unique challenge. They had to apply the legal concept of 'Abatement ab initio'. This ancient legal doctrine, derived from Latin, was designed to address this exact situation. It states that when a defendant dies before a final judgment is made on their case, the entire legal process initiated against them from the beginning becomes void.

The court, following this principle, decided to vacate James' conviction. The long, arduous trial and subsequent appeal were erased, leaving no criminal record for James. His name remained clean, and the town he loved could continue to see him as the generous baker they had always known.

While the outcome was saddening for those who thought James guilty, it served as a reminder of the importance of this ancient legal principle that ensures justice isn't unfairly served when circumstances change in an unexpected way."
Abstention doctrine	"An abstention doctrine is any of several doctrines that a United States court may (or in some cases must) apply to refuse to hear a case if hearing the case would potentially intrude upon the powers of another court. Such doctrines are usually invoked where lawsuits involving the same issues are brought in two different court systems at the same time (such as federal and state courts).
The United States has a federal court system with limitations on the cases that it can hear, while each state has its own individual court system. In some instances, the jurisdiction of these courts overlap, so a lawsuit between two parties may be brought in either or both courts. The latter circumstance can lead to confusion, waste resources, as well as cause the appearance that one court is disrespecting the other. Both federal and state courts have developed rules determining when one court will defer to another's jurisdiction over a particular case."	"Title: A Matter of Justice: A Clash of Jurisdictions

In the peaceful town of Bridgewood, a local business, TW's Tech Shop, was embroiled in a heated dispute with a major tech company, HighTech Inc. The heart of the conflict was over a patent infringement claim by TW's Tech Shop, alleging that HighTech Inc. had copied a unique design for their latest smartphone case.

The case was a complex one, but TW's Tech Shop, as a small business owner, did not have the resources to tackle both the state and federal courts. With that in mind, they filed a lawsuit in the Bridgewood County Court, the state court, hoping for a fair resolution.

Meanwhile, HighTech Inc., a multinational corporation, was confident that the federal court was the better forum to contest the claims, believing they might find more favorable jurisdiction there. A week later, they filed a nearly identical lawsuit in the Federal District Court for the Eastern District of Bridgewood.

Upon learning this, the judge in the Bridgewood County Court, while sympathetic to TW's Tech Shop, decided to abide by the Abstention Doctrine. Recognizing that TW's Tech Shop could not sustain two separate and expensive lawsuits, the judge restrained himself from proceeding with the case, acknowledging that the federal court's jurisdiction and resources would be more suitable to resolve this multifaceted dispute.

Thus, the Abstention Doctrine came into play, demonstrating the ability of our courts to show respect for each other's roles, prevents excess litigation, and steers justice in a more efficient direction for all parties concerned. It served as a reminder that in the pursuit of justice, deference and coordination often create the best outcomes."
Abstraction principle (law)	The abstract system of title transfer (German: Abstraktionsprinzip) is a legal term in German law relating to the law of obligations (Schuldrecht) and property law (Sachenrecht). Although no express reference to it is made in the German Civil Code (BGB), the concept of separating a personal undertaking to pay or exchange goods or legal rights (e.g. through contract) from the conveyance of title to those goods or legal rights (e.g. through a deed or land registration) is fundamental to German private law (as well as Brazilian law, Greek law, South African law, and Scots law).	"Title: The Art Forgery and the Absent Artist

In the bustling heart of Berlin, a renowned art gallery, 'Van Gogh's Vision,' was known for showcasing rare, authentic works by famous artists. One day, a local artist named Otto, struggling to sell his modern art, decided to create a perfect forgery of a priceless Van Gogh painting, ""Starry Night,"" and sell it to the gallery's owner, Herr Schmidt.

Otto expertly replicated the painting, complete with stellar brushstrokes and the unmistakable swirls of the night sky. Herr Schmidt, upon seeing the forgery, was dazzled and, blinded by greed, bought it instantly, paying Otto a hefty sum.

However, the joy was short-lived.wordpress.com/2015/12/31/the-abstraction-principle-understanding-how-contracts-and-property-work/
When police raided the gallery, they discovered Otto's forgery and arrested him. The genuine ""Starry Night"" was safely tucked away at the Van Gogh Museum in Amsterdam. Herr Schmidt was left with a forgery and a hefty loss.

This unfortunate situation illustrates the Abstraction Principle in law. Otto had the obligation (personal undertaking) to sell the genuine painting, but not the right (title) to it. The transaction, while legally binding (Otto received payment), failed due to the lack of the actual painting, which was rightfully owned by the Van Gogh Museum.

In this example, the art work (goods) and the promise to sell it (the personal undertaking) were separated. The Abstraction Principle helps us understand that in a contract, the ownership of goods or rights, and the agreement to exchange them, are two separate things."
Acquiescence	"In law, acquiescence occurs when a person knowingly stands by, without raising any objection to, the infringement of their rights, while someone else unknowingly and without malice aforethought acts in a manner inconsistent with their rights. As a result of acquiescence, the person whose rights are infringed may lose the ability to make a legal claim against the infringer, or may be unable to obtain an injunction against continued infringement. The doctrine infers a form of ""permission"" that results from silence or passiveness over an extended period of time."	"Title: The Unsung Opera House

In the heart of a bustling city, there stood an iconic opera house, a symbol of art and culture. For decades, the opera house was managed by a meticulous woman named Mrs. Johnson. One day, a new café, Café Libro, opened right across the street. Its charming ambiance and delicious pastries soon drew in brisk business, causing a noticeable decline in patrons for the opera house.

Mrs. Johnson, concerned, approached the café owner, Mr. Roberts, to discuss the situation. However, rather than seeking recourse, she expressed her worries and suggested a joint marketing campaign. Overwhelmed and grateful, Mr. Roberts readily accepted the advice.

Years passed, and the café's popularity continued to grow. The opera house's visitor count remained low, and Mrs. Johnson, while still hoping for a rise in the number of patrons, continued to support and promote the café.

One day, Mr. Roberts, blissfully unaware of the initial issue, decided to expand Café Libro all the way onto the opera house's footpath, creating a significant obstruction for Mrs. Johnson's patrons. Alas, Mrs. Johnson didn't object because she had been acquiescing, unknowingly consenting to Mr. Roberts' actions through her silence and passive acceptance.

When Mrs. Johnson, out of necessity, threatened legal action against Mr. Roberts, he was bewildered. Through years of acquiescence, Mrs. Johnson had, in the eyes of the law, given tacit permission for the infringement of her rights.

This story illustrates the legal concept of acquiescence. When we knowingly stand by without raising objections, we may inadvertently allow others to infringe on our rights, making it difficult to seek legal recourse or obtain an injunction against continued infringement. It's a reminder that silence and passiveness over an extended period can be interpreted as permission."
Act of state doctrine	"The act-of-state doctrine is a principle in international law whereby acts done by a state in its own territory cannot be challenged by the national courts of another state.
As a principle of federal common law in the United States which states, in circumstances where it applies, that courts in the United States will not rule on the validity of another government's (formal) sovereign act with respect to property located within the latter's own territory. The act-of-state doctrine enters consideration most often in cases where a foreign sovereign has expropriated the property of a U.S. national located in that foreign territory (e.g. through nationalization)."	"Title: ""The Heart of the Matter: A Paintbrush in the Wind""

In the vibrant city of San Miguel de Allende, Mexico, lived a talented American artist, Amelia, known for her exceptional oil paintings. Her studio, nestled in the heart of the city, was a haven for artists and art lovers alike. One day, the Mexican government announced a new initiative to develop a modern arts district in the city, myriad with cultural events and exhibitions. Ambitious and optimistic, Amelia was thrilled, imagining her art reaching a wider audience.

However, the plan took an unexpected turn when the government seized her studio, along with those of many other foreign artists, to make way for the new district. Amelia was shocked and felt wronged. She sought the help of a friend, a lawyer named Michael, who was familiar with the complexities of international law, to fight this injustice.

Michael, after researching the case, informed Amelia about the act-of-state doctrine. He explained that, under this principle, the courts in the United States would not question the validity of actions taken by a foreign government concerning property in its own territory. Despite her sympathetic ear, the American courts would likely refuse to hear Amelia's case.

Determined not to let her life's work go in vain, Amelia decided to channel her emotions into her paints and created a powerful series about the struggle for artistic freedom. Her poignant exhibit, displayed in a new location, attracted considerable attention and sparked a larger discussion about the balance between national development and individual rights.

In the end, Amelia found a way to assert her voice, showcasing the resilience of artists and the power of creating art despite the challenges posed by foreign governments' actions. Through this experience, she learned about the act-of-state doctrine, a principle that might have inhibited judicial intervention, but not her spirit."
Actio libera in causa	"Actio libera in causa (frequently abbreviated as a.l.i.c., Latin for ""action free in its cause"") is a law principle in a typical Western law system (both common law and civil law). The doctrine means that even if the person was not free to choose the course of action while performing an offence, he can still be held responsible for it if he voluntarily created a condition (""cause"") for the offending action. A typical example is self-defense: in Anglo-American jurisdictions lethal action is justified under certain circumstances while protecting oneself, others, or property. However, this defense is not available, for example, to a person who started the fight, thus creating a ""cause"" for killing in self-defense at a later time. Most frequently a.l.i.c. is mentioned with regard to voluntary intoxication: if a person gets drunk, she will not be able use her state of inebriation to claim that, for example, her act of negligence was an accident."	"Title: The Case of the Rowdy Pub Brawl

In the quaint town of Millford, the locally-renowned pub, ""The Mug 'n' Malt,"" was bustling with patrons enjoying a Friday night out. Among them were two long-time friends, George and Henry, who had a notorious reputation for their rivalry.

One evening, a heated argument between them escalated, prompting Henry to challenge George to a friendly arm-wrestling contest. The crowd gathered, egging them on. The contest quickly became heated, and in a fit of anger, Henry punched George.

Despite the spectacle, the pub's bouncer, a notoriously large and calm man named Tom, seemed unfazed. As the violence escalated, Tom made an unusual choice - he decided to take a shot of whiskey. Minutes later, fueled by the alcohol, Tom intervened, using excessive force and breaking up the fight. In the chaos, a glass shattered, and a piece of shard struck George, causing a severe injury.

George sued Tom, claiming that the pub bouncer was responsible for his injuries, as he had created the ""cause"" of the fight and was then negligent by using alcohol to escalate the situation, compromising his ability to react rationally.

In court, the defense argued that Tom's actions were voluntary and he was responsible for the conditions he created. They argued that, despite being intoxicated, Tom was still accountable for his decisions and actions. In the end, the jury agreed, and Tom was found responsible for George's injuries because he voluntarily created the cause of the altercation that led to the unfortunate event. The verdict served as a reminder to not underestimate the legal responsibility that comes with creating a volatile situation, even when under the influence."
Administration of justice	The administration of justice is the process by which the legal system of a government is executed. The presumed goal of such an administration is to provide justice for all those accessing the legal system.	"Title: A Day in the Life of Judge Sarah: The Administration of Justice

In the heart of downtown, surrounded by towering buildings and bustling streets, Judge Sarah stepped into her courtroom, ready to administer justice. The room echoed with anticipation, filled with defendants, lawyers, and witnesses, each with their own stories.

Today, she had two cases. The first was a petty theft case involving a young man named Mike. Mike, a struggling artist, had stolen a painting out of desperation, selling it to pay his rent. He felt remorseful and promised never to repeat his mistake.

The second case was a more serious matter. John, a business owner, was accused of fraudulently misappropriating funds from his customers. The evidence against him was damning.

Judge Sarah listened attentively as the attorneys presented their cases. She treated each person with respect, understanding that justice was not just about punishing wrongdoers but also about rehabilitating them, and ensuring fairness and equality for all.

In the first case, she sentenced Mike to community service, requiring him to work at a local art center, where he could learn a legitimate way to earn a living. She recognized his remorse and potential, hoping to guide him onto the right path.

In the second case, she delivered a harsh sentence to John, considering the severity of his offense and the number of people affected. She emphasized the importance of honesty and integrity in business.

With each case, Judge Sarah demonstrated the administration of justice - the fair and impartial application of laws to ensure that justice is served equally and justly, regardless of wealth, power, or connection. Her decisions reflected the principles of accountability, fairness, and rehabilitation, guiding her in her duty to serve justice for all.

Thus, in the bustling city, Judge Sarah, like many others in the legal system, worked tirelessly to maintain the balance, ensuring that justice was not just a concept, but a tangible reality."
Agent of record	"An agent of record (AOR) is an individual or legal entity with a duly executed contractual agreement with an insurance policy owner in line with the prevailing legal norms and regulations of the region in which the contract was entered. The agent of record has a legal right to receive commissions from the respective insurance policy.
The agent of record is authorized to represent an insured party in purchasing, servicing, and maintaining insurance coverage with a designated insurer. The majority of insurance companies will not disclose information or discuss an insured party's account with an agent other than the agent of record. An insured party wishing to change its insurance agent must properly authorize the insurer to release their information and discuss their coverage with their newly appointed agent, for example with an agent of record letter.
Relevant documents may be executed via hard copy or electronically (in jurisdictions where electronic execution is legal). Applications may be made electronically, as well as in physical form."	"Title: The Hammonds' Home Insurance Mishap

The Hammonds, a happy family of four, had been living in their cozy suburban home for over a decade. One day, a sudden storm hit their neighborhood, causing a tree to fall on their roof, causing extensive damage.

Frightened and confused, Mr. Hammond, a busy entrepreneur, turned to the insurance company he had been with for years. He dialed the number on his policy, hoping for a swift solution. However, the customer service representative kindly informed him that they could not discuss his policy or provide any assistance without speaking to his agent of record.

Mr. Hammond was puzzled. He had bought the policy years ago, during a business trip, and the insurance agent had processed it on the spot. He had never heard of an ""agent of record"" before.

Mr. Hammond remembered the agent's business card in his office drawer. He contacted the agent, explaining his predicament. The agent, Ms. Thompson, was more than happy to help. She stepped in, communicating with the insurance company, and making sure the Hammonds' claim was processed quickly and efficiently.

Days later, the Hammonds received a check to cover the damage. Mr. Hammond was grateful to Ms. Thompson, his agent of record, for her timely assistance. He realized then the importance of having an authorized agent to handle his insurance affairs, especially in an emergency.

From then on, Mr. Hammond put a priority on keeping track of his agent of record and ensured that he would always have a trusted representative to handle his insurance-related matters. He learned that an agent of record was not just an intermediary, but a vital link in dealing with insurance companies, especially when it mattered most."
Aggregate effects doctrine	"The Aggregate effects doctrine, Cumulative effects doctrine, or substantial effects doctrine is a legal doctrine in United States federal law. The AED permits extension of the regulation of interstate commerce into any action which affects interstate commerce only when aggregated with other actions. It is most often associated with Wickard v. Filburn (1942).: 125  In Wickard a wheat farmer growing wheat solely for animal feed within the confines of his own farm was found to be regulatable because private growth for private consumption was the primary reason for decrease of demand.: 125 
Although mostly associated with Wickard, it is also referred to as ""substantial effects"" in another formative case the preceding year called U.S. v. Darby Lumber Co. (1941).: 126  In the previous term the same idea was the reasoning for the decision of  National Labor Relations Board v. Fainblatt . In Fainblatt the ""plenary"" power of interstate regulation ""extends to all such commerce be it great or small"" and had never been held ""to be constitutionally restricted because in any particular case the volume of the commerce affected may be small.""
Since its introduction this doctrine has been applied widely. One common example is alcohol laws, such as Michigan's well known wine shipment restrictions;  it is the basis of the influential NFIB v. Sebelius (2012) and some experts apply aggregate effects to the abortion law debate.
This doctrine is differently applied in tax and other cases and its effects upon firm decisions to enter or not enter interstate markets remains unclear."	"Title: ""The Baker's Bountiful Bread""

In the quaint town of Maplewood, nestled between the hills, lived a humble baker named Sam. Sam's bakery was known far and wide for its delicious, freshly baked bread. No matter the day, there was always a line outside his shop, with locals and travelers alike clamoring for a taste of Sam's artisanal loaves.

One year, Sam, a proud independent entrepreneur, decided to take things a step further. He cultivated a small plot behind his bakery, growing the grains needed for his bread. This move was intended to cut costs and ensure the freshest, most authentic ingredients for his customers.

Yet, the local government intervened. Reason being, Sam's small grain farm was now a threat to the large supply chain of national bakeries, hidden beneath the aggregate effect of numerous individual farmers like Sam. The local government argued that, if left unregulated, small farmers could disrupt the market, affecting the supply of grains to the larger bakeries, leading to increased grain costs, and ultimately, higher prices for consumers.

In this case, Sam's small, individual farming activity might seem insignificant, but the government had the power to regulate it under the Aggregate Effects Doctrine. The principle here is that, even if a single action may appear minor, when combined with many similar actions, it could have a significant impact on interstate commerce. Sam's wheat farming, while meant for self-consumption, contributed to the market and, thus, fell under government jurisdiction.

This illustrates how the Aggregate Effects Doctrine allows governments to regulate activities that may seem local but can cumulatively influence interstate commerce. With the doctrine, they can ensure continuity and stability in the market, even on small scales. On the flipside, it can cause concern over the potential unintended consequences of too much regulation on individual freedoms. Regardless, it's an essential legal doctrine that balances the needs of commerce and individual liberty in regulating interstate activities."
